factor_id,store_id,factor_date,is_holiday,temp_c,rainfall_mm,trend_index,cpi_index
F000000030,ST0001,2023-09-17,False,30.03,21.0,100.77,101.53
F000000031,ST0001,2023-09-24,False,31.32,15.03,100.17,104.01
F000000032,ST0001,2023-10-01,False,28.09,16.26,102.03,104.48
F000000033,ST0001,2023-10-08,False,25.92,17.41,103.38,104.06
F000000034,ST0001,2023-10-15,False,25.31,15.94,102.72,103.05
F000000035,ST0001,2023-10-22,False,26.31,18.67,102.29,102.16
F000000036,ST0001,2023-10-29,False,26.43,20.77,100.29,103.11
F000000037,ST0001,2023-11-05,False,23.72,13.55,101.42,103.59
F000000038,ST0001,2023-11-12,False,28.3,13.52,101.9,104.4
F000000039,ST0001,2023-11-19,False,26.57,16.28,99.7,104.59
F000000040,ST0001,2023-11-26,True,22.9,14.05,102.42,103.37
F000000041,ST0001,2023-12-03,False,24.35,9.24,101.99,103.21
F000000042,ST0001,2023-12-10,False,25.14,8.29,101.49,103.82
F000000043,ST0001,2023-12-17,True,22.42,6.65,103.75,103.16
F000000044,ST0001,2023-12-24,False,20.69,8.3,103.34,105.21
F000000045,ST0001,2023-12-31,False,21.99,5.78,102.15,104.81
F000000046,ST0001,2024-01-07,True,23.56,3.48,102.46,104.75
F000000047,ST0001,2024-01-14,False,23.13,3.48,100.58,103.94
F000000048,ST0001,2024-01-21,False,21.9,4.32,101.01,105.54
F000000049,ST0001,2024-01-28,False,21.96,3.38,103.77,104.24
F000000050,ST0001,2024-02-04,False,20.5,3.83,103.64,105.53
F000000051,ST0001,2024-02-11,False,19.88,3.71,102.43,105.05
F000000052,ST0001,2024-02-18,False,19.27,6.95,102.66,105.94
F000000053,ST0001,2024-02-25,True,20.54,4.47,102.88,102.99
F000000054,ST0001,2024-03-03,False,22.11,4.57,102.07,105.23
F000000055,ST0001,2024-03-10,False,21.41,9.23,103.42,104.85
F000000056,ST0001,2024-03-17,False,24.59,4.34,103.46,105.1
F000000057,ST0001,2024-03-24,False,25.28,3.14,101.95,104.9
F000000058,ST0001,2024-03-31,False,24.16,3.29,104.95,104.36
F000000059,ST0001,2024-04-07,False,25.27,3.13,104.22,105.63
F000000060,ST0001,2024-04-14,False,27.48,3.75,102.06,105.92
F000000061,ST0001,2024-04-21,False,26.81,5.54,102.72,106.17
F000000062,ST0001,2024-04-28,False,25.83,4.39,101.45,106.46
F000000063,ST0001,2024-05-05,False,31.44,5.8,102.0,105.63
F000000064,ST0001,2024-05-12,False,28.36,8.54,103.72,105.05
F000000065,ST0001,2024-05-19,False,28.75,5.62,104.74,104.63
F000000066,ST0001,2024-05-26,False,31.79,5.4,102.59,105.53
F000000067,ST0001,2024-06-02,False,31.33,11.57,104.06,105.21
F000000068,ST0001,2024-06-09,False,32.63,6.03,102.15,107.39
F000000069,ST0001,2024-06-16,False,32.4,7.33,102.48,108.75
F000000070,ST0001,2024-06-23,True,30.46,3.33,104.81,106.82
F000000071,ST0001,2024-06-30,False,30.88,3.53,104.7,105.38
F000000072,ST0001,2024-07-07,False,32.2,4.45,103.12,107.26
F000000073,ST0001,2024-07-14,False,31.6,5.96,102.97,106.09
F000000074,ST0001,2024-07-21,False,31.65,11.0,104.5,105.93
F000000075,ST0001,2024-07-28,False,31.82,13.67,102.74,105.24
F000000076,ST0001,2024-08-04,False,31.43,10.54,100.47,106.3
F000000077,ST0001,2024-08-11,False,32.27,12.21,101.34,105.31
F000000078,ST0001,2024-08-18,False,30.53,12.45,101.25,106.53
F000000079,ST0001,2024-08-25,False,30.64,13.47,103.92,107.41
F000000080,ST0001,2024-09-01,False,29.2,14.23,105.79,108.16
F000000081,ST0001,2024-09-08,False,32.29,15.13,101.6,108.94
F000000082,ST0001,2024-09-15,False,28.98,17.92,104.05,107.88
F000000083,ST0001,2024-09-22,False,31.55,19.26,105.67,107.31
F000000084,ST0001,2024-09-29,True,30.13,19.49,103.67,109.2
F000000085,ST0001,2024-10-06,False,29.41,16.49,103.07,107.31
F000000086,ST0001,2024-10-13,False,27.47,16.83,104.17,107.84
F000000087,ST0001,2024-10-20,False,26.61,16.09,104.93,108.84
F000000088,ST0001,2024-10-27,False,26.27,17.5,103.32,107.12
F000000089,ST0001,2024-11-03,True,26.13,14.49,104.45,107.59
F000000090,ST0001,2024-11-10,True,23.66,15.53,104.11,108.95
F000000091,ST0001,2024-11-17,False,24.04,11.23,105.34,107.98
F000000092,ST0001,2024-11-24,False,23.2,10.67,102.55,109.04
F000000093,ST0001,2024-12-01,False,23.16,10.99,103.24,107.9
F000000094,ST0001,2024-12-08,False,20.54,8.12,103.73,108.53
F000000095,ST0001,2024-12-15,False,23.05,10.74,105.12,110.19
F000000096,ST0001,2024-12-22,False,20.32,5.88,101.34,108.92
F000000097,ST0001,2024-12-29,False,19.61,6.95,105.08,109.31
F000000098,ST0001,2025-01-05,True,22.41,5.31,105.84,110.23
F000000099,ST0001,2025-01-12,True,19.82,5.69,107.11,110.26
F000000100,ST0001,2025-01-19,False,21.88,3.82,105.09,109.53
F000000101,ST0001,2025-01-26,False,17.66,5.26,102.51,110.77
F000000102,ST0001,2025-02-02,False,22.68,5.97,105.03,109.74
F000000103,ST0001,2025-02-09,False,22.38,4.25,102.91,109.52
F000000104,ST0001,2025-02-16,False,21.17,4.65,104.21,108.87
F000000105,ST0001,2025-02-23,False,21.84,3.81,103.67,111.01
F000000106,ST0001,2025-03-02,False,23.17,6.08,103.94,109.45
F000000107,ST0001,2025-03-09,False,24.19,5.17,106.1,109.55
F000000108,ST0001,2025-03-16,False,23.66,3.65,104.14,110.53
F000000109,ST0001,2025-03-23,False,23.7,4.91,103.95,109.68
F000000110,ST0001,2025-03-30,False,23.42,5.55,103.22,109.51
F000000111,ST0001,2025-04-06,False,23.68,4.12,104.9,111.01
F000000112,ST0001,2025-04-13,False,27.23,6.41,103.74,110.87
F000000113,ST0001,2025-04-20,False,23.47,3.58,103.29,111.49
F000000114,ST0001,2025-04-27,False,25.64,6.94,105.38,111.02
F000000115,ST0001,2025-05-04,False,27.44,7.4,103.67,110.38
F000000116,ST0001,2025-05-11,False,30.57,3.59,102.82,110.7
F000000117,ST0001,2025-05-18,False,28.21,5.74,103.82,110.98
F000000118,ST0001,2025-05-25,False,29.95,5.65,105.13,110.4
F000000119,ST0001,2025-06-01,False,31.0,4.46,104.46,110.62
F000000120,ST0001,2025-06-08,False,30.54,6.33,103.44,111.46
F000000121,ST0001,2025-06-15,False,32.19,5.34,104.43,111.54
F000000122,ST0001,2025-06-22,False,32.42,10.17,103.33,111.89
F000000123,ST0001,2025-06-29,False,34.59,5.12,107.35,111.99
F000000124,ST0001,2025-07-06,False,33.6,4.41,102.64,111.72
F000000125,ST0001,2025-07-13,False,30.08,10.12,105.26,111.83
F000000126,ST0001,2025-07-20,False,33.14,8.63,103.4,112.4
F000000127,ST0001,2025-07-27,False,32.97,9.04,106.11,112.9
F000000128,ST0001,2025-08-03,False,32.5,13.19,107.02,111.58
F000000129,ST0001,2025-08-10,False,33.5,11.44,105.28,111.48
F000000130,ST0001,2025-08-17,False,33.42,16.32,105.31,112.4
F000000131,ST0001,2025-08-24,False,33.68,16.38,105.81,110.65
F000000132,ST0001,2025-08-31,False,30.24,18.07,105.19,114.09
F000000133,ST0001,2025-09-07,False,29.37,14.44,105.18,113.04
F000000134,ST0001,2025-09-14,False,31.57,15.62,104.75,112.39
F000000135,ST0001,2025-09-21,False,31.83,15.67,106.85,111.16
F000000136,ST0001,2025-09-28,False,27.8,16.92,104.48,112.67
F000000137,ST0001,2025-10-05,False,29.16,21.16,105.0,113.43
F000000138,ST0001,2025-10-12,False,27.5,16.28,104.36,114.45
F000000139,ST0001,2025-10-19,True,28.57,18.17,108.36,113.66
F000000140,ST0001,2025-10-26,False,27.68,17.38,106.51,113.34
F000000141,ST0001,2025-11-02,False,24.8,15.59,105.66,114.27
F000000142,ST0001,2025-11-09,False,24.7,13.17,105.09,113.97
F000000143,ST0001,2025-11-16,True,24.38,15.78,108.28,113.15
F000000144,ST0001,2025-11-23,False,24.25,10.61,106.74,113.78
F000000145,ST0001,2025-11-30,False,22.94,12.7,106.77,114.44
F000000146,ST0001,2025-12-07,False,21.78,9.31,108.7,114.22
F000000147,ST0001,2025-12-14,False,21.59,9.98,107.2,112.79
F000000148,ST0001,2025-12-21,False,21.92,6.7,105.56,114.76
F000000149,ST0001,2025-12-28,False,21.44,12.31,107.28,114.15
F000000150,ST0001,2026-01-04,False,21.68,8.14,105.61,114.62
F000000151,ST0001,2026-01-11,False,20.66,7.29,109.14,115.68
F000000152,ST0001,2026-01-18,False,20.78,8.67,107.01,114.39
F000000153,ST0001,2026-01-25,False,20.63,3.72,106.64,114.22
F000000154,ST0001,2026-02-01,False,19.93,5.84,105.91,114.09
F000000155,ST0001,2026-02-08,True,22.18,3.25,107.69,115.63
F000000156,ST0001,2026-02-15,False,20.65,5.34,105.24,114.04
F000000157,ST0002,2023-02-26,False,23.63,3.49,101.86,99.31
F000000158,ST0002,2023-03-05,False,24.62,4.21,100.59,99.02
F000000159,ST0002,2023-03-12,False,22.78,4.2,101.27,99.73
F000000160,ST0002,2023-03-19,False,26.16,4.3,101.59,100.04
F000000161,ST0002,2023-03-26,False,26.21,4.41,98.31,101.67
F000000162,ST0002,2023-04-02,True,22.44,4.36,99.94,101.28
F000000163,ST0002,2023-04-09,False,25.43,6.36,98.43,101.48
F000000164,ST0002,2023-04-16,False,26.58,5.46,100.29,100.42
F000000165,ST0002,2023-04-23,False,25.26,6.16,100.54,100.3
F000000166,ST0002,2023-04-30,False,28.18,4.59,100.07,100.61
F000000167,ST0002,2023-05-07,False,27.64,4.45,101.12,100.27
F000000168,ST0002,2023-05-14,False,28.11,9.07,98.84,101.39
F000000169,ST0002,2023-05-21,False,29.59,5.46,101.4,101.7
F000000170,ST0002,2023-05-28,False,28.53,7.8,101.22,100.98
F000000171,ST0002,2023-06-04,False,30.88,5.21,100.64,100.48
F000000172,ST0002,2023-06-11,False,31.64,4.19,98.59,100.73
F000000173,ST0002,2023-06-18,False,31.06,5.72,99.48,101.94
F000000174,ST0002,2023-06-25,False,32.45,6.26,100.39,100.96
F000000175,ST0002,2023-07-02,False,35.08,4.47,101.37,101.74
F000000176,ST0002,2023-07-09,False,31.05,7.96,98.78,101.86
F000000177,ST0002,2023-07-16,False,33.69,9.03,103.44,102.35
F000000178,ST0002,2023-07-23,False,34.05,7.35,98.25,101.72
F000000179,ST0002,2023-07-30,False,32.3,8.41,100.06,101.91
F000000180,ST0002,2023-08-06,False,32.6,11.56,101.47,102.25
F000000181,ST0002,2023-08-13,False,33.45,12.96,102.62,101.98
F000000182,ST0002,2023-08-20,False,33.22,14.62,103.43,102.51
F000000183,ST0002,2023-08-27,False,31.72,13.78,102.21,101.87
F000000184,ST0002,2023-09-03,False,34.28,14.32,97.99,102.3
F000000185,ST0002,2023-09-10,False,31.83,14.48,99.77,103.1
F000000186,ST0002,2023-09-17,False,28.63,15.24,103.06,103.46
F000000187,ST0002,2023-09-24,False,30.59,16.45,99.81,102.74
F000000188,ST0002,2023-10-01,False,31.17,15.47,101.33,102.46
F000000189,ST0002,2023-10-08,False,29.18,16.04,101.16,102.98
F000000190,ST0002,2023-10-15,False,29.26,15.67,101.45,101.81
F000000191,ST0002,2023-10-22,False,27.81,16.18,102.62,102.86
F000000192,ST0002,2023-10-29,False,28.02,14.86,101.1,103.43
F000000193,ST0002,2023-11-05,False,28.84,13.17,102.99,103.9
F000000194,ST0002,2023-11-12,False,24.34,13.45,100.99,104.43
F000000195,ST0002,2023-11-19,False,25.8,13.65,100.54,103.42
F000000196,ST0002,2023-11-26,False,22.13,12.52,102.4,103.0
F000000197,ST0002,2023-12-03,True,22.94,12.2,105.52,103.21
F000000198,ST0002,2023-12-10,True,23.87,9.7,107.75,104.95
F000000199,ST0002,2023-12-17,True,21.41,12.53,103.36,103.93
F000000200,ST0002,2023-12-24,True,20.86,5.84,104.05,104.27
F000000201,ST0002,2023-12-31,False,21.27,8.28,101.78,103.4
F000000202,ST0002,2024-01-07,False,20.89,8.58,101.84,105.42
F000000203,ST0002,2024-01-14,False,20.13,8.13,102.16,103.81
F000000204,ST0002,2024-01-21,False,20.31,5.69,101.08,103.78
F000000205,ST0002,2024-01-28,False,21.71,5.14,100.79,105.31
F000000206,ST0002,2024-02-04,False,24.5,9.46,101.45,105.57
F000000207,ST0002,2024-02-11,False,19.75,4.36,102.31,106.21
F000000208,ST0002,2024-02-18,True,23.08,5.93,102.88,104.99
F000000209,ST0002,2024-02-25,False,22.25,9.51,103.14,105.33
F000000210,ST0002,2024-03-03,False,23.64,11.51,99.19,104.35
F000000211,ST0002,2024-03-10,False,23.81,6.76,99.98,106.73
F000000212,ST0002,2024-03-17,False,21.95,4.72,103.19,105.81
F000000213,ST0002,2024-03-24,False,23.89,7.84,100.59,105.42
F000000214,ST0002,2024-03-31,False,24.61,4.38,103.0,106.5
F000000215,ST0002,2024-04-07,False,23.02,9.57,104.35,106.13
F000000216,ST0002,2024-04-14,False,24.52,4.68,103.68,105.75
F000000217,ST0002,2024-04-21,False,28.03,9.02,100.61,105.44
F000000218,ST0002,2024-04-28,False,28.71,3.25,103.83,106.83
F000000219,ST0002,2024-05-05,False,26.17,3.72,100.05,105.77
F000000220,ST0002,2024-05-12,False,30.43,5.54,102.45,106.26
F000000221,ST0002,2024-05-19,False,28.64,6.46,101.3,106.44
F000000222,ST0002,2024-05-26,False,28.92,3.39,103.23,105.72
F000000223,ST0002,2024-06-02,False,33.9,3.22,102.61,106.63
F000000224,ST0002,2024-06-09,True,29.89,6.17,104.12,107.25
F000000225,ST0002,2024-06-16,False,34.62,3.25,103.67,107.42
F000000226,ST0002,2024-06-23,False,30.22,9.6,102.85,105.96
F000000227,ST0002,2024-06-30,False,31.23,4.81,100.52,106.29
F000000228,ST0002,2024-07-07,False,31.93,8.17,101.35,106.35
F000000229,ST0002,2024-07-14,False,31.56,9.14,102.72,106.21
F000000230,ST0002,2024-07-21,True,33.05,7.92,103.23,107.74
F000000231,ST0002,2024-07-28,False,32.52,10.41,102.22,108.21
F000000232,ST0002,2024-08-04,False,32.42,12.13,103.17,105.54
F000000233,ST0002,2024-08-11,False,32.89,16.41,103.8,107.73
F000000234,ST0002,2024-08-18,True,34.22,17.27,103.95,108.17
F000000235,ST0002,2024-08-25,False,33.33,13.82,101.83,109.21
F000000236,ST0002,2024-09-01,False,32.94,20.89,102.78,107.84
F000000237,ST0002,2024-09-08,False,31.86,16.59,101.18,107.92
F000000238,ST0002,2024-09-15,False,29.82,16.38,103.0,106.91
F000000239,ST0002,2024-09-22,False,30.51,16.67,102.63,108.1
F000000240,ST0002,2024-09-29,False,28.01,17.0,103.91,109.33
F000000241,ST0002,2024-10-06,False,28.97,16.1,100.7,108.78
F000000242,ST0002,2024-10-13,False,27.24,15.81,103.53,106.27
F000000243,ST0002,2024-10-20,False,26.97,19.1,104.25,107.25
F000000244,ST0002,2024-10-27,False,27.29,15.73,103.56,106.95
F000000245,ST0002,2024-11-03,False,25.7,16.32,103.42,110.96
F000000246,ST0002,2024-11-10,False,25.36,12.91,102.23,108.32
F000000247,ST0002,2024-11-17,False,25.3,12.9,103.85,108.71
F000000248,ST0002,2024-11-24,False,20.89,10.44,103.28,108.93
F000000249,ST0002,2024-12-01,True,21.35,10.21,106.05,109.3
F000000250,ST0002,2024-12-08,False,24.48,10.26,105.15,109.27
F000000251,ST0002,2024-12-15,False,21.45,10.16,103.73,108.14
F000000252,ST0002,2024-12-22,False,24.58,4.84,105.92,108.95
F000000253,ST0002,2024-12-29,False,21.16,3.87,106.6,110.97
F000000254,ST0002,2025-01-05,False,19.23,4.66,104.61,109.09
F000000255,ST0002,2025-01-12,False,22.58,6.35,104.05,108.13
F000000256,ST0002,2025-01-19,False,21.37,3.33,102.93,109.92
F000000257,ST0002,2025-01-26,False,22.57,4.69,104.66,108.54
F000000258,ST0002,2025-02-02,False,19.97,4.37,100.99,109.82
F000000259,ST0002,2025-02-09,False,20.51,3.94,106.05,110.37
F000000260,ST0002,2025-02-16,False,21.26,5.12,106.4,109.93
F000000261,ST0002,2025-02-23,False,21.57,6.11,105.22,110.3
F000000262,ST0002,2025-03-02,False,22.43,4.93,101.53,110.02
F000000263,ST0002,2025-03-09,False,20.44,4.78,105.24,110.84
F000000264,ST0002,2025-03-16,False,20.22,10.5,104.42,109.35
F000000265,ST0002,2025-03-23,False,25.9,6.15,105.72,111.48
F000000266,ST0002,2025-03-30,False,25.15,9.09,105.14,109.79
F000000267,ST0002,2025-04-06,False,24.53,3.6,103.97,111.57
F000000268,ST0002,2025-04-13,True,25.77,4.03,105.84,111.76
F000000269,ST0002,2025-04-20,False,26.16,3.72,105.2,111.26
F000000270,ST0002,2025-04-27,True,24.69,4.49,106.56,110.83
F000000271,ST0002,2025-05-04,True,26.74,11.51,104.37,111.37
F000000272,ST0002,2025-05-11,False,29.1,5.09,106.62,110.97
F000000273,ST0002,2025-05-18,False,27.93,7.33,104.77,112.11
F000000274,ST0002,2025-05-25,False,29.64,4.18,104.54,111.17
F000000275,ST0002,2025-06-01,False,31.05,4.03,105.5,111.37
F000000276,ST0002,2025-06-08,False,30.71,3.42,103.32,111.99
F000000277,ST0002,2025-06-15,False,32.22,6.02,104.82,111.74
F000000278,ST0002,2025-06-22,False,32.68,6.27,105.29,112.08
F000000279,ST0002,2025-06-29,False,30.66,3.26,104.77,111.6
F000000280,ST0002,2025-07-06,False,34.99,7.48,105.57,112.12
F000000281,ST0002,2025-07-13,False,33.15,12.73,104.8,112.77
F000000282,ST0002,2025-07-20,False,34.23,7.8,105.41,111.51
F000000283,ST0002,2025-07-27,False,32.72,8.57,105.62,112.93
F000000284,ST0002,2025-08-03,False,34.57,11.84,104.37,111.49
F000000285,ST0002,2025-08-10,False,31.59,12.57,105.26,112.55
F000000286,ST0002,2025-08-17,False,34.84,14.26,106.04,112.43
F000000287,ST0002,2025-08-24,False,32.92,14.3,106.2,112.9
F000000288,ST0002,2025-08-31,False,28.6,13.95,104.2,112.72
F000000289,ST0002,2025-09-07,False,31.16,18.14,104.07,112.13
F000000290,ST0002,2025-09-14,False,32.9,16.74,104.8,113.16
F000000291,ST0002,2025-09-21,False,28.65,15.84,106.5,112.71
F000000292,ST0002,2025-09-28,False,31.17,15.67,106.05,112.18
F000000293,ST0002,2025-10-05,False,30.21,17.27,106.09,112.86
F000000294,ST0002,2025-10-12,False,28.48,19.35,104.55,114.35
F000000295,ST0002,2025-10-19,False,24.54,20.78,107.18,111.63
F000000296,ST0002,2025-10-26,False,22.77,14.33,106.06,114.69
F000000297,ST0002,2025-11-02,False,24.95,16.15,103.72,114.01
F000000298,ST0002,2025-11-09,False,24.94,14.82,104.91,114.17
F000000299,ST0002,2025-11-16,False,24.1,11.81,106.51,112.91
F000000300,ST0002,2025-11-23,False,25.4,10.89,106.43,114.38
F000000301,ST0002,2025-11-30,False,24.33,12.07,105.83,115.25
F000000302,ST0002,2025-12-07,True,24.48,9.89,106.98,114.05
F000000303,ST0002,2025-12-14,False,24.1,11.54,105.88,113.41
F000000304,ST0002,2025-12-21,False,21.54,6.49,106.71,114.95
F000000305,ST0002,2025-12-28,False,21.13,6.44,106.09,114.97
F000000306,ST0002,2026-01-04,False,22.94,6.17,106.77,115.11
F000000307,ST0002,2026-01-11,False,19.13,6.85,106.79,114.47
F000000308,ST0002,2026-01-18,False,21.14,4.28,106.3,114.93
F000000309,ST0002,2026-01-25,False,20.77,4.92,106.37,114.54
F000000310,ST0002,2026-02-01,False,23.78,9.37,104.39,116.34
F000000311,ST0002,2026-02-08,False,20.29,6.73,107.74,115.19
F000000312,ST0002,2026-02-15,True,23.32,3.74,106.9,115.68
F000000313,ST0003,2023-02-26,False,22.63,13.96,99.19,99.38
F000000314,ST0003,2023-03-05,False,24.39,11.79,99.66,100.99
F000000315,ST0003,2023-03-12,False,23.46,10.29,98.03,100.14
F000000316,ST0003,2023-03-19,False,22.06,6.72,98.96,99.79
F000000317,ST0003,2023-03-26,False,26.43,11.97,99.6,100.79
F000000318,ST0003,2023-04-02,False,27.88,7.08,99.37,101.72
F000000319,ST0003,2023-04-09,False,27.47,9.95,99.94,100.28
F000000320,ST0003,2023-04-16,False,28.47,7.59,101.18,99.32
F000000321,ST0003,2023-04-23,True,28.74,13.0,99.57,101.06
F000000322,ST0003,2023-04-30,True,26.85,8.65,99.59,101.65
F000000323,ST0003,2023-05-07,False,32.36,9.26,103.86,102.11
F000000324,ST0003,2023-05-14,False,30.9,9.78,101.03,100.24
F000000325,ST0003,2023-05-21,False,30.33,11.53,99.92,100.98
F000000326,ST0003,2023-05-28,False,29.52,7.44,100.23,100.33
F000000327,ST0003,2023-06-04,False,32.04,6.95,99.46,101.14
F000000328,ST0003,2023-06-11,False,32.24,7.56,102.63,101.38
F000000329,ST0003,2023-06-18,False,31.02,10.42,99.56,102.46
F000000330,ST0003,2023-06-25,False,31.8,6.37,100.55,101.22
F000000331,ST0003,2023-07-02,False,33.11,7.71,99.73,101.88
F000000332,ST0003,2023-07-09,False,34.66,9.87,99.09,101.66
F000000333,ST0003,2023-07-16,False,34.81,9.58,101.59,100.7
F000000334,ST0003,2023-07-23,False,34.82,14.91,100.88,100.94
F000000335,ST0003,2023-07-30,False,35.96,12.08,100.8,101.85
F000000336,ST0003,2023-08-06,False,34.6,13.4,101.31,102.46
F000000337,ST0003,2023-08-13,False,32.08,14.83,100.07,102.86
F000000338,ST0003,2023-08-20,False,34.64,17.74,100.8,103.14
F000000339,ST0003,2023-08-27,True,32.82,16.06,106.14,103.01
F000000340,ST0003,2023-09-03,False,31.3,17.49,99.48,103.96
F000000341,ST0003,2023-09-10,False,34.18,23.22,102.21,102.74
F000000342,ST0003,2023-09-17,False,32.53,20.19,98.45,102.58
F000000343,ST0003,2023-09-24,False,29.37,22.98,100.92,103.29
F000000344,ST0003,2023-10-01,False,30.75,20.81,101.39,102.44
F000000345,ST0003,2023-10-08,False,30.05,21.16,99.11,102.28
F000000346,ST0003,2023-10-15,False,31.71,20.1,101.36,102.64
F000000347,ST0003,2023-10-22,False,32.79,19.14,100.72,102.24
F000000348,ST0003,2023-10-29,False,25.39,18.19,101.3,104.35
F000000349,ST0003,2023-11-05,False,25.02,20.84,102.22,102.1
F000000350,ST0003,2023-11-12,True,26.49,22.12,101.8,104.05
F000000351,ST0003,2023-11-19,False,26.03,16.52,102.88,103.29
F000000352,ST0003,2023-11-26,False,25.17,14.4,101.21,103.71
F000000353,ST0003,2023-12-03,True,26.06,14.15,101.08,103.74
F000000354,ST0003,2023-12-10,False,22.26,12.04,100.9,105.08
F000000355,ST0003,2023-12-17,False,25.36,13.93,103.81,103.85
F000000356,ST0003,2023-12-24,True,23.15,12.05,103.87,103.04
F000000357,ST0003,2023-12-31,False,26.22,7.78,100.64,105.14
F000000358,ST0003,2024-01-07,False,22.46,10.46,103.41,105.64
F000000359,ST0003,2024-01-14,False,20.9,6.21,104.04,105.17
F000000360,ST0003,2024-01-21,False,21.18,8.24,104.76,104.27
F000000361,ST0003,2024-01-28,False,23.09,11.24,102.03,103.21
F000000362,ST0003,2024-02-04,False,25.03,9.33,102.93,105.8
F000000363,ST0003,2024-02-11,False,21.66,12.1,103.26,104.42
F000000364,ST0003,2024-02-18,True,22.32,7.86,103.42,105.38
F000000365,ST0003,2024-02-25,False,25.53,6.64,101.82,103.89
F000000366,ST0003,2024-03-03,False,27.03,13.57,102.01,105.1
F000000367,ST0003,2024-03-10,False,25.01,11.66,102.16,105.0
F000000368,ST0003,2024-03-17,False,26.13,6.92,101.07,106.28
F000000369,ST0003,2024-03-24,False,24.5,9.69,101.34,105.59
F000000370,ST0003,2024-03-31,False,28.43,6.3,102.74,105.0
F000000371,ST0003,2024-04-07,False,27.38,9.38,105.02,105.18
F000000372,ST0003,2024-04-14,False,28.18,7.6,102.48,106.2
F000000373,ST0003,2024-04-21,True,26.58,6.64,101.99,107.19
F000000374,ST0003,2024-04-28,False,30.97,6.4,103.7,105.94
F000000375,ST0003,2024-05-05,False,29.64,8.74,101.84,105.05
F000000376,ST0003,2024-05-12,True,30.57,7.4,104.26,106.43
F000000377,ST0003,2024-05-19,False,28.74,7.38,101.71,106.92
F000000378,ST0003,2024-05-26,False,29.34,6.28,103.0,105.66
F000000379,ST0003,2024-06-02,False,31.26,6.53,102.25,107.67
F000000380,ST0003,2024-06-09,False,34.92,6.66,103.15,107.0
F000000381,ST0003,2024-06-16,False,33.84,6.53,104.63,106.18
F000000382,ST0003,2024-06-23,False,32.52,7.27,102.49,106.21
F000000383,ST0003,2024-06-30,True,35.05,6.06,103.82,107.15
F000000384,ST0003,2024-07-07,False,33.71,8.78,103.56,107.58
F000000385,ST0003,2024-07-14,False,31.69,12.25,102.77,106.47
F000000386,ST0003,2024-07-21,False,33.74,14.23,103.85,107.49
F000000387,ST0003,2024-07-28,False,33.85,16.33,104.12,107.62
F000000388,ST0003,2024-08-04,False,35.69,14.56,101.94,108.92
F000000389,ST0003,2024-08-11,True,34.83,14.63,103.69,108.55
F000000390,ST0003,2024-08-18,True,34.52,19.7,103.56,106.95
F000000391,ST0003,2024-08-25,False,32.47,18.43,104.5,107.44
F000000392,ST0003,2024-09-01,False,33.46,20.13,103.32,107.89
F000000393,ST0003,2024-09-08,False,31.83,19.52,103.02,107.03
F000000394,ST0003,2024-09-15,False,33.46,21.61,104.64,107.33
F000000395,ST0003,2024-09-22,False,32.98,20.68,103.86,107.83
F000000396,ST0003,2024-09-29,False,30.45,19.6,104.41,107.68
F000000397,ST0003,2024-10-06,False,30.01,21.74,102.72,107.82
