customer_id,signup_date,city,state,segment
CUST000072,2023-09-16,Dwarka,Delhi,Value
CUST000073,2023-08-13,Jalandhar,Punjab,Premium
CUST000074,2024-01-25,Gaya,Bihar,Mainstream
CUST000075,2024-02-16,Warangal,Telangana,Value
CUST000076,2023-09-17,Rajkot,Gujarat,Value
CUST000077,2024-01-16,Amritsar,Punjab,Mainstream
CUST000078,2023-08-11,Silchar,Assam,Premium
CUST000079,2023-09-15,Thiruvananthapuram,Kerala,Premium
CUST000080,2023-06-08,Gurugram,Haryana,Health-focused
CUST000081,2023-10-20,Kolkata,West Bengal,Health-focused
CUST000082,2024-02-15,Rajkot,Gujarat,Premium
CUST000083,2023-05-08,Salem,Tamil Nadu,Mainstream
CUST000084,2023-05-15,Indore,Madhya Pradesh,Value
CUST000085,2023-12-29,Cuttack,Odisha,Value
CUST000086,2023-11-12,Silchar,Assam,Mainstream
CUST000087,2023-08-29,Rourkela,Odisha,Value
CUST000088,2024-01-28,Chennai,Tamil Nadu,Premium
CUST000089,2023-03-20,Gurugram,Haryana,Mainstream
CUST000090,2023-10-04,Thiruvananthapuram,Kerala,Health-focused
CUST000091,2023-06-19,New Delhi,Delhi,Value
CUST000092,2023-10-21,Varanasi,Uttar Pradesh,Value
CUST000093,2023-10-31,Warangal,Telangana,Health-focused
CUST000094,2023-04-10,Rohini,Delhi,Mainstream
CUST000095,2023-08-20,Dwarka,Delhi,Value
CUST000096,2023-08-23,Patna,Bihar,Mainstream
CUST000097,2024-02-17,Guwahati,Assam,Mainstream
CUST000098,2023-03-20,Gaya,Bihar,Value
CUST000099,2024-01-23,New Delhi,Delhi,Premium
CUST000100,2023-06-30,Dwarka,Delhi,Health-focused
CUST000101,2023-10-02,Howrah,West Bengal,Value
CUST000102,2024-01-14,Patna,Bihar,Premium
CUST000103,2023-10-05,Howrah,West Bengal,Mainstream
CUST000104,2023-06-07,Kochi,Kerala,Mainstream
CUST000105,2023-02-28,Bhagalpur,Bihar,Mainstream
CUST000106,2024-02-21,Surat,Gujarat,Value
CUST000107,2023-11-27,Chennai,Tamil Nadu,Premium
CUST000108,2023-10-18,Siliguri,West Bengal,Value
CUST000109,2023-11-03,Rohini,Delhi,Mainstream
CUST000110,2023-12-23,Jalandhar,Punjab,Mainstream
CUST000111,2023-10-18,Rohini,Delhi,Value
CUST000112,2023-12-25,Siliguri,West Bengal,Health-focused
CUST000113,2023-06-28,Coimbatore,Tamil Nadu,Value
CUST000114,2024-02-16,Bhopal,Madhya Pradesh,Value
CUST000115,2023-12-28,Nizamabad,Telangana,Value
CUST000116,2023-06-01,Nizamabad,Telangana,Value
CUST000117,2024-01-22,Silchar,Assam,Mainstream
CUST000118,2023-05-08,Howrah,West Bengal,Mainstream
CUST000119,2024-01-09,Siliguri,West Bengal,Premium
CUST000120,2023-11-01,Mangaluru,Karnataka,Health-focused
CUST000121,2023-12-10,Hyderabad,Telangana,Premium
CUST000122,2023-09-26,Dibrugarh,Assam,Mainstream
CUST000123,2023-12-12,Gaya,Bihar,Value
CUST000124,2023-07-16,Pune,Maharashtra,Value
CUST000125,2023-10-18,Kanpur,Uttar Pradesh,Value
CUST000126,2023-12-16,Silchar,Assam,Mainstream
CUST000127,2023-09-01,Rohini,Delhi,Premium
CUST000128,2023-10-01,Hubballi,Karnataka,Mainstream
CUST000129,2023-03-14,Dwarka,Delhi,Value
CUST000130,2023-04-11,Gaya,Bihar,Value
CUST000131,2023-06-27,Patna,Bihar,Premium
CUST000132,2024-01-04,Vadodara,Gujarat,Premium
CUST000133,2023-06-11,Bhubaneswar,Odisha,Mainstream
CUST000134,2023-11-25,Ahmedabad,Gujarat,Mainstream
CUST000135,2024-02-21,Jodhpur,Rajasthan,Value
CUST000136,2023-11-16,Gwalior,Madhya Pradesh,Mainstream
CUST000137,2023-09-24,Dwarka,Delhi,Health-focused
CUST000138,2023-05-01,Mangaluru,Karnataka,Premium
CUST000139,2023-08-09,Hyderabad,Telangana,Value
CUST000140,2023-12-18,Varanasi,Uttar Pradesh,Mainstream
CUST000141,2023-04-05,Kota,Rajasthan,Value
CUST000142,2023-07-18,Salem,Tamil Nadu,Mainstream
CUST000143,2023-08-12,Faridabad,Haryana,Health-focused
CUST000144,2023-10-18,Mumbai,Maharashtra,Mainstream
CUST000145,2023-09-17,Gurugram,Haryana,Premium
CUST000146,2023-11-06,Rajkot,Gujarat,Premium
CUST000147,2023-08-17,Udaipur,Rajasthan,Premium
CUST000148,2023-08-20,Nizamabad,Telangana,Premium
CUST000149,2023-10-19,Bengaluru,Karnataka,Value
CUST000150,2023-05-17,Mumbai,Maharashtra,Health-focused
CUST000151,2023-10-03,Gaya,Bihar,Value
CUST000152,2023-07-30,Surat,Gujarat,Premium
CUST000153,2023-08-29,Siliguri,West Bengal,Value
CUST000154,2024-01-24,Jaipur,Rajasthan,Value
CUST000155,2023-08-01,Kolkata,West Bengal,Value
CUST000156,2024-02-21,Varanasi,Uttar Pradesh,Mainstream
CUST000157,2023-04-06,New Delhi,Delhi,Value
CUST000158,2024-02-09,Nizamabad,Telangana,Value
CUST000159,2023-08-20,Patna,Bihar,Value
CUST000160,2023-10-28,Saket,Delhi,Mainstream
CUST000161,2023-04-19,Coimbatore,Tamil Nadu,Value
CUST000162,2023-07-29,Rohini,Delhi,Value
CUST000163,2023-05-05,Warangal,Telangana,Premium
CUST000164,2023-03-02,Hyderabad,Telangana,Mainstream
CUST000165,2023-06-15,Durgapur,West Bengal,Value
CUST000166,2023-10-10,Warangal,Telangana,Mainstream
CUST000167,2023-05-08,Ahmedabad,Gujarat,Premium
CUST000168,2023-10-03,Saket,Delhi,Value
CUST000169,2024-01-22,Ludhiana,Punjab,Value
CUST000170,2023-12-30,Coimbatore,Tamil Nadu,Mainstream
CUST000171,2024-01-29,Bhopal,Madhya Pradesh,Premium
CUST000172,2023-11-13,Indore,Madhya Pradesh,Mainstream
CUST000173,2023-03-25,Rajkot,Gujarat,Value
CUST000174,2023-06-29,Varanasi,Uttar Pradesh,Value
CUST000175,2023-11-23,Silchar,Assam,Mainstream
CUST000176,2023-05-04,Nagpur,Maharashtra,Health-focused
CUST000177,2023-12-02,Kozhikode,Kerala,Mainstream
CUST000178,2023-04-04,Durgapur,West Bengal,Health-focused
CUST000179,2023-06-16,Mumbai,Maharashtra,Value
CUST000180,2023-09-17,Bengaluru,Karnataka,Health-focused
CUST000181,2023-09-19,Jabalpur,Madhya Pradesh,Mainstream
CUST000182,2023-08-03,Coimbatore,Tamil Nadu,Value
CUST000183,2023-05-16,Coimbatore,Tamil Nadu,Health-focused
CUST000184,2024-01-24,Jalandhar,Punjab,Mainstream
CUST000185,2023-06-28,Madurai,Tamil Nadu,Mainstream
CUST000186,2023-10-06,Mysuru,Karnataka,Value
CUST000187,2023-03-26,Saket,Delhi,Mainstream
CUST000188,2024-02-23,Indore,Madhya Pradesh,Value
CUST000189,2023-11-07,Nizamabad,Telangana,Value
CUST000190,2023-07-08,Panipat,Haryana,Mainstream
CUST000191,2023-07-13,Siliguri,West Bengal,Value
CUST000192,2023-10-03,New Delhi,Delhi,Value
CUST000193,2023-12-18,Jaipur,Rajasthan,Value
CUST000194,2023-08-29,Salem,Tamil Nadu,Mainstream
CUST000195,2023-05-22,Hubballi,Karnataka,Premium
CUST000196,2023-04-19,Gurugram,Haryana,Value
CUST000197,2023-02-27,Dwarka,Delhi,Mainstream
CUST000198,2023-10-25,Bengaluru,Karnataka,Value
CUST000199,2023-05-28,Faridabad,Haryana,Health-focused
CUST000200,2023-07-03,Hubballi,Karnataka,Value
CUST000201,2023-04-06,Rourkela,Odisha,Value
CUST000202,2023-03-24,Gurugram,Haryana,Mainstream
CUST000203,2023-03-21,Howrah,West Bengal,Premium
CUST000204,2023-07-20,Kochi,Kerala,Premium
CUST000205,2023-10-17,Gwalior,Madhya Pradesh,Value
CUST000206,2023-12-11,Nagpur,Maharashtra,Value
CUST000207,2023-12-25,Indore,Madhya Pradesh,Mainstream
CUST000208,2023-12-02,Guwahati,Assam,Mainstream
CUST000209,2023-09-23,Noida,Uttar Pradesh,Value
CUST000210,2024-01-17,Pune,Maharashtra,Mainstream
CUST000211,2024-01-28,Nagpur,Maharashtra,Value
CUST000212,2023-04-20,Kozhikode,Kerala,Mainstream
CUST000213,2023-03-28,Surat,Gujarat,Mainstream
CUST000214,2023-03-20,Nizamabad,Telangana,Value
CUST000215,2023-09-04,Varanasi,Uttar Pradesh,Mainstream
CUST000216,2023-04-15,Bhagalpur,Bihar,Value
CUST000217,2023-04-05,Nizamabad,Telangana,Premium
CUST000218,2023-05-03,Hubballi,Karnataka,Mainstream
CUST000219,2023-08-06,Kanpur,Uttar Pradesh,Value
CUST000220,2023-08-12,Kozhikode,Kerala,Premium
CUST000221,2023-04-05,Jalandhar,Punjab,Value
CUST000222,2023-12-22,Surat,Gujarat,Premium
CUST000223,2023-10-14,Dwarka,Delhi,Value
CUST000224,2023-11-27,Gaya,Bihar,Mainstream
CUST000225,2023-10-21,Gurugram,Haryana,Mainstream
CUST000226,2024-02-12,Jaipur,Rajasthan,Value
CUST000227,2023-08-12,Bhopal,Madhya Pradesh,Value
CUST000228,2023-08-27,Hyderabad,Telangana,Mainstream
CUST000229,2023-07-29,Kozhikode,Kerala,Value
CUST000230,2023-09-21,Jodhpur,Rajasthan,Value
CUST000231,2023-07-03,Bhagalpur,Bihar,Mainstream
CUST000232,2023-05-08,Saket,Delhi,Value
CUST000233,2023-06-19,New Delhi,Delhi,Value
CUST000234,2023-09-04,Hyderabad,Telangana,Premium
CUST000235,2023-04-05,Madurai,Tamil Nadu,Health-focused
CUST000236,2024-01-22,Mumbai,Maharashtra,Value
CUST000237,2023-08-14,Patna,Bihar,Value
CUST000238,2023-03-23,New Delhi,Delhi,Health-focused
CUST000239,2023-09-16,Durgapur,West Bengal,Premium
CUST000240,2023-10-02,Guwahati,Assam,Value
CUST000241,2023-06-01,Siliguri,West Bengal,Value
CUST000242,2023-05-13,Udaipur,Rajasthan,Mainstream
CUST000243,2023-11-08,Mysuru,Karnataka,Mainstream
CUST000244,2023-04-11,Rourkela,Odisha,Mainstream
CUST000245,2023-06-08,Kota,Rajasthan,Value
CUST000246,2023-08-28,Lucknow,Uttar Pradesh,Health-focused
CUST000247,2023-08-21,Silchar,Assam,Premium
CUST000248,2023-03-11,Jalandhar,Punjab,Value
CUST000249,2023-07-19,Ludhiana,Punjab,Value
CUST000250,2023-12-22,Hubballi,Karnataka,Mainstream
CUST000251,2024-01-28,Noida,Uttar Pradesh,Value
CUST000252,2023-03-26,Kanpur,Uttar Pradesh,Mainstream
CUST000253,2023-05-25,Varanasi,Uttar Pradesh,Value
CUST000254,2024-02-18,Howrah,West Bengal,Mainstream
CUST000255,2024-02-19,Panipat,Haryana,Value
CUST000256,2023-12-11,Panipat,Haryana,Mainstream
CUST000257,2023-05-26,Rajkot,Gujarat,Mainstream
CUST000258,2023-06-25,Guwahati,Assam,Value
CUST000259,2023-02-26,Lucknow,Uttar Pradesh,Mainstream
CUST000260,2023-08-19,Ludhiana,Punjab,Premium
CUST000261,2023-05-12,Siliguri,West Bengal,Value
CUST000262,2023-08-31,Hyderabad,Telangana,Premium
CUST000263,2024-01-31,Madurai,Tamil Nadu,Mainstream
CUST000264,2023-07-30,Kozhikode,Kerala,Value
CUST000265,2023-10-07,Ludhiana,Punjab,Health-focused
CUST000266,2024-02-23,Silchar,Assam,Value
CUST000267,2023-05-26,Gurugram,Haryana,Mainstream
CUST000268,2023-07-26,Thiruvananthapuram,Kerala,Mainstream
CUST000269,2024-02-20,Hyderabad,Telangana,Mainstream
CUST000270,2023-12-31,Kozhikode,Kerala,Value
CUST000271,2023-04-20,Ludhiana,Punjab,Mainstream
CUST000272,2023-04-06,Guwahati,Assam,Value
CUST000273,2023-05-22,Kanpur,Uttar Pradesh,Health-focused
CUST000274,2023-07-11,Madurai,Tamil Nadu,Mainstream
CUST000275,2023-08-24,Surat,Gujarat,Mainstream
CUST000276,2023-03-22,Jaipur,Rajasthan,Mainstream
CUST000277,2023-05-22,Thiruvananthapuram,Kerala,Mainstream
CUST000278,2023-08-24,Cuttack,Odisha,Premium
CUST000279,2023-12-18,Kochi,Kerala,Premium
CUST000280,2023-03-15,Noida,Uttar Pradesh,Mainstream
CUST000281,2023-04-20,Bhopal,Madhya Pradesh,Value
CUST000282,2023-09-06,Madurai,Tamil Nadu,Value
CUST000283,2023-04-14,Kolkata,West Bengal,Mainstream
CUST000284,2023-10-04,Jalandhar,Punjab,Mainstream
CUST000285,2023-04-18,Durgapur,West Bengal,Value
CUST000286,2023-09-23,Ludhiana,Punjab,Health-focused
CUST000287,2023-04-16,Udaipur,Rajasthan,Value
CUST000288,2023-11-04,Hubballi,Karnataka,Mainstream
CUST000289,2023-10-02,Hyderabad,Telangana,Value
CUST000290,2024-01-12,Madurai,Tamil Nadu,Premium
CUST000291,2023-06-11,Guwahati,Assam,Value
CUST000292,2023-10-26,Siliguri,West Bengal,Health-focused
CUST000293,2023-10-25,Rohini,Delhi,Premium
CUST000294,2024-01-20,Silchar,Assam,Value
CUST000295,2023-09-09,Kochi,Kerala,Value
CUST000296,2023-07-10,Gurugram,Haryana,Mainstream
CUST000297,2023-07-13,Gaya,Bihar,Value
CUST000298,2024-02-02,Mysuru,Karnataka,Premium
CUST000299,2023-11-30,New Delhi,Delhi,Mainstream
CUST000300,2023-03-29,Rourkela,Odisha,Value
CUST000301,2023-11-27,Kozhikode,Kerala,Mainstream
CUST000302,2023-10-27,Silchar,Assam,Premium
CUST000303,2023-03-15,Bhopal,Madhya Pradesh,Value
CUST000304,2023-10-13,Hyderabad,Telangana,Health-focused
CUST000305,2023-06-04,Howrah,West Bengal,Health-focused
CUST000306,2024-02-10,Hyderabad,Telangana,Mainstream
CUST000307,2024-01-13,Bhubaneswar,Odisha,Health-focused
CUST000308,2023-04-01,Nizamabad,Telangana,Value
CUST000309,2023-12-05,Salem,Tamil Nadu,Mainstream
CUST000310,2023-03-04,Amritsar,Punjab,Mainstream
CUST000311,2023-05-12,Bhubaneswar,Odisha,Mainstream
CUST000312,2023-04-18,New Delhi,Delhi,Mainstream
CUST000313,2023-07-11,Gwalior,Madhya Pradesh,Premium
CUST000314,2024-01-03,Kozhikode,Kerala,Mainstream
CUST000315,2023-09-20,Guwahati,Assam,Value
CUST000316,2024-02-16,Nizamabad,Telangana,Mainstream
CUST000317,2023-08-14,Kochi,Kerala,Value
CUST000318,2023-07-13,Lucknow,Uttar Pradesh,Mainstream
CUST000319,2023-07-31,Gurugram,Haryana,Value
CUST000320,2024-02-17,Gwalior,Madhya Pradesh,Premium
CUST000321,2023-10-10,Dwarka,Delhi,Value
CUST000322,2024-01-01,Amritsar,Punjab,Mainstream
CUST000323,2023-09-22,Coimbatore,Tamil Nadu,Mainstream
CUST000324,2023-03-26,Silchar,Assam,Premium
CUST000325,2023-11-12,Kolkata,West Bengal,Value
CUST000326,2023-11-21,Kochi,Kerala,Premium
CUST000327,2023-06-08,Pune,Maharashtra,Value
CUST000328,2023-03-23,Mysuru,Karnataka,Value
CUST000329,2023-09-02,Panipat,Haryana,Value
CUST000330,2023-04-30,Bhagalpur,Bihar,Value
CUST000331,2023-12-27,Pune,Maharashtra,Value
CUST000332,2023-10-26,Patna,Bihar,Health-focused
CUST000333,2023-07-08,Faridabad,Haryana,Value
CUST000334,2023-03-23,Madurai,Tamil Nadu,Value
CUST000335,2024-01-23,Howrah,West Bengal,Premium
CUST000336,2023-09-23,Noida,Uttar Pradesh,Value
CUST000337,2023-05-04,Mumbai,Maharashtra,Mainstream
CUST000338,2024-01-03,Kolkata,West Bengal,Value
CUST000339,2023-09-06,Gwalior,Madhya Pradesh,Mainstream
CUST000340,2023-10-22,Faridabad,Haryana,Value
CUST000341,2023-03-01,Jabalpur,Madhya Pradesh,Mainstream
CUST000342,2024-01-03,Panipat,Haryana,Mainstream
CUST000343,2023-10-30,Gwalior,Madhya Pradesh,Mainstream
CUST000344,2024-01-19,Madurai,Tamil Nadu,Health-focused
CUST000345,2024-02-25,Amritsar,Punjab,Value
CUST000346,2023-06-29,Indore,Madhya Pradesh,Value
CUST000347,2024-02-09,Hubballi,Karnataka,Mainstream
CUST000348,2023-11-07,Nizamabad,Telangana,Value
CUST000349,2023-09-21,Gwalior,Madhya Pradesh,Health-focused
CUST000350,2024-02-23,Kozhikode,Kerala,Value
CUST000351,2023-06-19,Vadodara,Gujarat,Mainstream
CUST000352,2023-07-29,Silchar,Assam,Value
CUST000353,2023-10-25,Howrah,West Bengal,Value
CUST000354,2023-12-09,Nizamabad,Telangana,Value
CUST000355,2023-06-19,Siliguri,West Bengal,Mainstream
CUST000356,2023-08-02,Gurugram,Haryana,Mainstream
CUST000357,2023-12-22,Cuttack,Odisha,Value
CUST000358,2023-10-24,Jabalpur,Madhya Pradesh,Premium
CUST000359,2023-06-05,Bengaluru,Karnataka,Mainstream
CUST000360,2023-09-25,Saket,Delhi,Mainstream
CUST000361,2023-06-08,Mysuru,Karnataka,Value
CUST000362,2023-10-18,Jalandhar,Punjab,Health-focused
CUST000363,2023-05-29,Warangal,Telangana,Premium
CUST000364,2023-05-27,Salem,Tamil Nadu,Value
CUST000365,2023-07-16,Chandigarh,Punjab,Value
CUST000366,2023-05-18,Surat,Gujarat,Mainstream
CUST000367,2023-10-06,Guwahati,Assam,Value
CUST000368,2023-10-28,Cuttack,Odisha,Mainstream
CUST000369,2023-06-08,Kochi,Kerala,Value
CUST000370,2023-11-24,Gurugram,Haryana,Premium
CUST000371,2024-01-12,Ahmedabad,Gujarat,Mainstream
CUST000372,2023-08-21,Noida,Uttar Pradesh,Mainstream
CUST000373,2023-11-10,Indore,Madhya Pradesh,Value
CUST000374,2023-03-21,Indore,Madhya Pradesh,Value
CUST000375,2023-11-19,Gwalior,Madhya Pradesh,Mainstream
CUST000376,2023-05-05,Jalandhar,Punjab,Premium
CUST000377,2023-06-02,Jalandhar,Punjab,Value
CUST000378,2023-06-20,Durgapur,West Bengal,Value
CUST000379,2023-12-24,Hyderabad,Telangana,Mainstream
CUST000380,2024-01-25,Kolkata,West Bengal,Value
CUST000381,2023-07-06,Hubballi,Karnataka,Premium
CUST000382,2024-01-26,Bengaluru,Karnataka,Mainstream
CUST000383,2023-09-27,Mumbai,Maharashtra,Mainstream
CUST000384,2023-07-05,Gaya,Bihar,Value
CUST000385,2024-02-16,Silchar,Assam,Value
CUST000386,2023-04-18,Nagpur,Maharashtra,Mainstream
CUST000387,2023-04-20,Jodhpur,Rajasthan,Mainstream
CUST000388,2023-04-21,Rohini,Delhi,Value
CUST000389,2023-07-10,Guwahati,Assam,Mainstream
CUST000390,2023-07-27,Vadodara,Gujarat,Mainstream
CUST000391,2023-06-12,Kolkata,West Bengal,Mainstream
CUST000392,2023-03-04,Dibrugarh,Assam,Value
CUST000393,2024-02-03,Chennai,Tamil Nadu,Premium
CUST000394,2023-11-14,Guwahati,Assam,Health-focused
CUST000395,2024-01-21,Chennai,Tamil Nadu,Health-focused
CUST000396,2023-07-27,Varanasi,Uttar Pradesh,Health-focused
CUST000397,2023-05-26,Kota,Rajasthan,Value
CUST000398,2024-02-07,Mangaluru,Karnataka,Value
CUST000399,2023-04-15,Jalandhar,Punjab,Mainstream
CUST000400,2024-01-31,Bengaluru,Karnataka,Premium
CUST000401,2023-10-08,Siliguri,West Bengal,Value
CUST000402,2023-08-20,Jaipur,Rajasthan,Value
CUST000403,2023-10-17,Kolkata,West Bengal,Mainstream
CUST000404,2023-10-28,Kota,Rajasthan,Mainstream
CUST000405,2023-05-22,Rourkela,Odisha,Premium
CUST000406,2023-03-28,Dwarka,Delhi,Mainstream
CUST000407,2023-12-25,Kolkata,West Bengal,Mainstream
CUST000408,2023-05-29,Silchar,Assam,Mainstream
CUST000409,2024-02-11,Thiruvananthapuram,Kerala,Mainstream
CUST000410,2023-04-24,Warangal,Telangana,Health-focused
CUST000411,2023-07-09,Cuttack,Odisha,Value
CUST000412,2024-02-08,Chandigarh,Punjab,Mainstream
CUST000413,2024-02-13,Kanpur,Uttar Pradesh,Mainstream
CUST000414,2023-07-03,Saket,Delhi,Mainstream
CUST000415,2024-01-20,Dibrugarh,Assam,Mainstream
CUST000416,2023-12-08,Kochi,Kerala,Premium
CUST000417,2023-05-17,Bengaluru,Karnataka,Mainstream
CUST000418,2023-04-05,Dibrugarh,Assam,Premium
CUST000419,2023-07-18,Dibrugarh,Assam,Value
CUST000420,2023-09-07,Mysuru,Karnataka,Mainstream
CUST000421,2023-10-11,Kochi,Kerala,Value
CUST000422,2023-10-12,Patna,Bihar,Premium
CUST000423,2024-01-26,Chandigarh,Punjab,Health-focused
CUST000424,2023-03-16,Mumbai,Maharashtra,Mainstream
CUST000425,2024-01-08,Mumbai,Maharashtra,Premium
CUST000426,2023-10-17,Indore,Madhya Pradesh,Mainstream
CUST000427,2023-06-20,Amritsar,Punjab,Premium
CUST000428,2024-01-09,Gaya,Bihar,Mainstream
CUST000429,2023-10-15,Silchar,Assam,Mainstream
CUST000430,2023-06-19,New Delhi,Delhi,Premium
CUST000431,2024-01-16,Nagpur,Maharashtra,Value
CUST000432,2023-03-21,Gwalior,Madhya Pradesh,Mainstream
CUST000433,2023-09-23,Durgapur,West Bengal,Value
CUST000434,2023-06-02,Rohini,Delhi,Mainstream
CUST000435,2023-06-03,Saket,Delhi,Value
CUST000436,2023-03-21,Chandigarh,Punjab,Premium
CUST000437,2023-12-24,Saket,Delhi,Mainstream
CUST000438,2023-03-22,Warangal,Telangana,Value
CUST000439,2023-11-13,Rourkela,Odisha,Mainstream
CUST000440,2023-05-02,Howrah,West Bengal,Mainstream
CUST000441,2024-01-02,Saket,Delhi,Mainstream
CUST000442,2024-01-03,Jalandhar,Punjab,Mainstream
CUST000443,2023-08-20,Kanpur,Uttar Pradesh,Value
CUST000444,2023-05-07,Jabalpur,Madhya Pradesh,Premium
CUST000445,2023-11-15,Rourkela,Odisha,Mainstream
CUST000446,2023-12-06,Gwalior,Madhya Pradesh,Mainstream
CUST000447,2023-07-24,Surat,Gujarat,Value
CUST000448,2024-02-24,Panipat,Haryana,Value
CUST000449,2023-08-25,Siliguri,West Bengal,Mainstream
CUST000450,2024-02-02,Silchar,Assam,Mainstream
CUST000451,2023-11-26,Rourkela,Odisha,Mainstream
CUST000452,2023-11-20,Jabalpur,Madhya Pradesh,Premium
CUST000453,2023-03-25,New Delhi,Delhi,Value
CUST000454,2023-05-19,Mysuru,Karnataka,Value
CUST000455,2023-03-29,Gwalior,Madhya Pradesh,Value
CUST000456,2023-03-14,Indore,Madhya Pradesh,Premium
CUST000457,2024-02-06,Faridabad,Haryana,Value
CUST000458,2024-02-17,Varanasi,Uttar Pradesh,Value
CUST000459,2023-09-12,Bhopal,Madhya Pradesh,Health-focused
CUST000460,2023-12-05,Rourkela,Odisha,Value
CUST000461,2023-06-09,Bengaluru,Karnataka,Mainstream
CUST000462,2024-02-21,Patna,Bihar,Health-focused
CUST000463,2023-12-31,Panipat,Haryana,Mainstream
CUST000464,2023-05-27,Surat,Gujarat,Value
CUST000465,2023-11-16,Coimbatore,Tamil Nadu,Health-focused
CUST000466,2023-07-18,Saket,Delhi,Value
CUST000467,2023-07-06,Jodhpur,Rajasthan,Value
CUST000468,2023-05-16,Nagpur,Maharashtra,Mainstream
CUST000469,2023-12-28,Mysuru,Karnataka,Health-focused
CUST000470,2023-12-16,Mangaluru,Karnataka,Mainstream
CUST000471,2023-08-07,Gurugram,Haryana,Premium
